symbol,overall_score,canslim_total,canslim_scores,analysis_date,leadership_data,market
284740.KS,64.3,4.5,"{'C': 0.0, 'A': 1.0, 'N': 0.5, 'S': 1.0, 'L': 1.0, 'I': 1.0, 'M': 0.0}",2025-06-03,"{'symbol': '284740.KS', 'analysis_date': '2025-06-03', 'criteria': {'52w_high': {'is_near_high': False, 'current_price': 26300.0, '52w_high': 27700.0, 'distance_from_high': -5.05}, 'market_performance': {'beta': 0.5, 'relative_strength_3m': 12.44, 'relative_strength_6m': 26.05, 'outperforms_market': True}, 'moving_average': {'above_20w_ma': True, 'ma20_value': 21622.2, 'ma20_slope': 62.5569, 'ma20_trending_up': True}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 43.0, 'up_days_ratio': 0.4, 'avg_up_return': 3.1, 'avg_down_return': -0.89, 'strength_ratio': 3.49}}, 'leadership_score': {'score': 4, 'max_score': 6, 'percentage': 66.7, 'grade': 'B'}}",KOSPI
241520.KQ,64.3,4.5,"{'C': 0.0, 'A': 1.0, 'N': 0.5, 'S': 1.0, 'L': 1.0, 'I': 1.0, 'M': 0.0}",2025-06-03,"{'symbol': '241520.KQ', 'analysis_date': '2025-06-03', 'criteria': {'52w_high': {'is_near_high': False, 'current_price': 6990.0, '52w_high': 10500.0, 'distance_from_high': -33.43}, 'market_performance': {'beta': 0.52, 'relative_strength_3m': 17.82, 'relative_strength_6m': 144.28, 'outperforms_market': True}, 'moving_average': {'above_20w_ma': True, 'ma20_value': 5104.6, 'ma20_slope': 35.2104, 'ma20_trending_up': True}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 80.47, 'up_days_ratio': 0.4, 'avg_up_return': 4.69, 'avg_down_return': -3.7, 'strength_ratio': 1.27}}, 'leadership_score': {'score': 4, 'max_score': 6, 'percentage': 66.7, 'grade': 'B'}}",KOSDAQ
950170.KQ,64.3,4.5,"{'C': 0.0, 'A': 1.0, 'N': 0.5, 'S': 1.0, 'L': 1.0, 'I': 1.0, 'M': 0.0}",2025-06-03,"{'symbol': '950170.KQ', 'analysis_date': '2025-06-03', 'criteria': {'52w_high': {'is_near_high': False, 'current_price': 5760.0, '52w_high': 6730.0, 'distance_from_high': -14.41}, 'market_performance': {'beta': 0.34, 'relative_strength_3m': 9.45, 'relative_strength_6m': 46.11, 'outperforms_market': True}, 'moving_average': {'above_20w_ma': True, 'ma20_value': 5099.3, 'ma20_slope': 19.2826, 'ma20_trending_up': True}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 60.15, 'up_days_ratio': 0.45, 'avg_up_return': 3.88, 'avg_down_return': -2.06, 'strength_ratio': 1.88}}, 'leadership_score': {'score': 4, 'max_score': 6, 'percentage': 66.7, 'grade': 'B'}}",KOSDAQ
052220.KQ,64.3,4.5,"{'C': 0.0, 'A': 1.0, 'N': 0.5, 'S': 1.0, 'L': 1.0, 'I': 1.0, 'M': 0.0}",2025-06-03,"{'symbol': '052220.KQ', 'analysis_date': '2025-06-03', 'criteria': {'52w_high': {'is_near_high': False, 'current_price': 4180.0, '52w_high': 6150.0, 'distance_from_high': -32.03}, 'market_performance': {'beta': 0.62, 'relative_strength_3m': -1.4, 'relative_strength_6m': 68.47, 'outperforms_market': True}, 'moving_average': {'above_20w_ma': True, 'ma20_value': 4057.5, 'ma20_slope': 5.9672, 'ma20_trending_up': True}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 45.73, 'up_days_ratio': 0.35, 'avg_up_return': 2.77, 'avg_down_return': -1.91, 'strength_ratio': 1.45}}, 'leadership_score': {'score': 4, 'max_score': 6, 'percentage': 66.7, 'grade': 'B'}}",KOSDAQ
030190.KS,50.0,3.5,"{'C': 1.0, 'A': 1.0, 'N': 0.5, 'S': 1.0, 'L': 0.0, 'I': 0.0, 'M': 0.0}",2025-06-03,"{'symbol': '030190.KS', 'analysis_date': '2025-06-03', 'criteria': {'52w_high': {'is_near_high': True, 'current_price': 14200.0, '52w_high': 14680.0, 'distance_from_high': -3.27}, 'market_performance': {'beta': 0.47, 'relative_strength_3m': 8.33, 'relative_strength_6m': 19.6, 'outperforms_market': True}, 'moving_average': {'above_20w_ma': True, 'ma20_value': 12318.01, 'ma20_slope': 23.4409, 'ma20_trending_up': True}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 32.69, 'up_days_ratio': 0.65, 'avg_up_return': 1.67, 'avg_down_return': -1.72, 'strength_ratio': 0.97}}, 'leadership_score': {'score': 4, 'max_score': 6, 'percentage': 66.7, 'grade': 'B'}}",KOSPI
024110.KS,50.0,3.5,"{'C': 1.0, 'A': 1.0, 'N': 0.5, 'S': 1.0, 'L': 0.0, 'I': 0.0, 'M': 0.0}",2025-06-03,"{'symbol': '024110.KS', 'analysis_date': '2025-06-03', 'criteria': {'52w_high': {'is_near_high': True, 'current_price': 15430.0, '52w_high': 15880.0, 'distance_from_high': -2.83}, 'market_performance': {'beta': 0.49, 'relative_strength_3m': -0.29, 'relative_strength_6m': 4.04, 'outperforms_market': True}, 'moving_average': {'above_20w_ma': True, 'ma20_value': 14506.06, 'ma20_slope': 18.7567, 'ma20_trending_up': True}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 12.85, 'up_days_ratio': 0.65, 'avg_up_return': 0.51, 'avg_down_return': -0.86, 'strength_ratio': 0.6}}, 'leadership_score': {'score': 4, 'max_score': 6, 'percentage': 66.7, 'grade': 'B'}}",KOSPI
105840.KS,50.0,3.5,"{'C': 0.0, 'A': 1.0, 'N': 0.5, 'S': 1.0, 'L': 0.0, 'I': 1.0, 'M': 0.0}",2025-06-03,"{'symbol': '105840.KS', 'analysis_date': '2025-06-03', 'criteria': {'52w_high': {'is_near_high': False, 'current_price': 8830.0, '52w_high': 10797.83, 'distance_from_high': -18.22}, 'market_performance': {'beta': 1.1, 'relative_strength_3m': 10.08, 'relative_strength_6m': 3.47, 'outperforms_market': True}, 'moving_average': {'above_20w_ma': True, 'ma20_value': 7582.6, 'ma20_slope': 21.9879, 'ma20_trending_up': True}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 56.16, 'up_days_ratio': 0.5, 'avg_up_return': 3.4, 'avg_down_return': -2.33, 'strength_ratio': 1.46}}, 'leadership_score': {'score': 4, 'max_score': 6, 'percentage': 66.7, 'grade': 'B'}}",KOSPI
007110.KS,50.0,3.5,"{'C': 0.0, 'A': 1.0, 'N': 0.5, 'S': 0.0, 'L': 1.0, 'I': 1.0, 'M': 0.0}",2025-06-03,"{'symbol': '007110.KS', 'analysis_date': '2025-06-03', 'criteria': {'52w_high': {'is_near_high': False, 'current_price': 2085.0, '52w_high': 2760.0, 'distance_from_high': -24.46}, 'market_performance': {'beta': 0.78, 'relative_strength_3m': -7.28, 'relative_strength_6m': 41.77, 'outperforms_market': True}, 'moving_average': {'above_20w_ma': False, 'ma20_value': 2164.98, 'ma20_slope': 0.7156, 'ma20_trending_up': True}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 40.01, 'up_days_ratio': 0.2, 'avg_up_return': 3.57, 'avg_down_return': -1.71, 'strength_ratio': 2.09}}, 'leadership_score': {'score': 3, 'max_score': 6, 'percentage': 50.0, 'grade': 'C'}}",KOSPI
009310.KS,50.0,3.5,"{'C': 0.0, 'A': 1.0, 'N': 0.5, 'S': 1.0, 'L': 1.0, 'I': 0.0, 'M': 0.0}",2025-06-03,"{'symbol': '009310.KS', 'analysis_date': '2025-06-03', 'criteria': {'52w_high': {'is_near_high': False, 'current_price': 1315.0, '52w_high': 1800.0, 'distance_from_high': -26.94}, 'market_performance': {'beta': 0.67, 'relative_strength_3m': 267.02, 'relative_strength_6m': 269.97, 'outperforms_market': True}, 'moving_average': {'above_20w_ma': True, 'ma20_value': 562.55, 'ma20_slope': 9.7361, 'ma20_trending_up': True}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 39.14, 'up_days_ratio': 0.4, 'avg_up_return': 1.58, 'avg_down_return': -2.43, 'strength_ratio': 0.65}}, 'leadership_score': {'score': 3, 'max_score': 6, 'percentage': 50.0, 'grade': 'C'}}",KOSPI
264900.KS,50.0,3.5,"{'C': 0.0, 'A': 1.0, 'N': 0.5, 'S': 1.0, 'L': 0.0, 'I': 1.0, 'M': 0.0}",2025-06-03,"{'symbol': '264900.KS', 'analysis_date': '2025-06-03', 'criteria': {'52w_high': {'is_near_high': False, 'current_price': 8620.0, '52w_high': 12767.53, 'distance_from_high': -32.48}, 'market_performance': {'beta': 0.52, 'relative_strength_3m': -0.14, 'relative_strength_6m': 1.29, 'outperforms_market': True}, 'moving_average': {'above_20w_ma': True, 'ma20_value': 8117.0, 'ma20_slope': 7.0957, 'ma20_trending_up': True}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 19.58, 'up_days_ratio': 0.35, 'avg_up_return': 1.47, 'avg_down_return': -0.64, 'strength_ratio': 2.3}}, 'leadership_score': {'score': 4, 'max_score': 6, 'percentage': 66.7, 'grade': 'B'}}",KOSPI
