symbol,overall_score,canslim_scores,analysis_date,leadership_data,market
GOOGL,4000.0,"{'C': 50, 'A': 20, 'N': 60, 'S': 0, 'L': 30, 'I': 80, 'M': 40}",2025-06-02,"{'symbol': 'GOOGL', 'analysis_date': '2025-06-02', 'criteria': {'52w_high': {'is_near_high': False, 'current_price': 169.03, '52w_high': 206.81, 'distance_from_high': -18.27}, 'market_performance': {'beta': nan, 'relative_strength_3m': nan, 'relative_strength_6m': nan, 'outperforms_market': False}, 'moving_average': {'above_20w_ma': False, 'ma20_value': 171.61, 'ma20_slope': -0.2676, 'ma20_trending_up': False}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 38.39, 'up_days_ratio': 0.5, 'avg_up_return': 1.85, 'avg_down_return': -1.49, 'strength_ratio': 1.24}}, 'leadership_score': {'score': 1, 'max_score': 6, 'percentage': 16.7, 'grade': 'D'}}",SP500
PYPL,3857.1,"{'C': 20, 'A': 20, 'N': 60, 'S': 0, 'L': 30, 'I': 100, 'M': 40}",2025-06-02,"{'symbol': 'PYPL', 'analysis_date': '2025-06-02', 'criteria': {'52w_high': {'is_near_high': False, 'current_price': 70.93, '52w_high': 93.66, 'distance_from_high': -24.27}, 'market_performance': {'beta': nan, 'relative_strength_3m': nan, 'relative_strength_6m': nan, 'outperforms_market': False}, 'moving_average': {'above_20w_ma': False, 'ma20_value': 72.76, 'ma20_slope': -0.1651, 'ma20_trending_up': False}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 22.17, 'up_days_ratio': 0.5, 'avg_up_return': 1.36, 'avg_down_return': -0.81, 'strength_ratio': 1.68}}, 'leadership_score': {'score': 1, 'max_score': 6, 'percentage': 16.7, 'grade': 'D'}}",NASDAQ
INTC,3714.3,"{'C': 20, 'A': 20, 'N': 60, 'S': 50, 'L': 30, 'I': 40, 'M': 40}",2025-06-02,"{'symbol': 'INTC', 'analysis_date': '2025-06-02', 'criteria': {'52w_high': {'is_near_high': False, 'current_price': 19.74, '52w_high': 36.93, 'distance_from_high': -46.54}, 'market_performance': {'beta': nan, 'relative_strength_3m': nan, 'relative_strength_6m': nan, 'outperforms_market': False}, 'moving_average': {'above_20w_ma': False, 'ma20_value': 21.35, 'ma20_slope': 0.0096, 'ma20_trending_up': True}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 35.83, 'up_days_ratio': 0.45, 'avg_up_return': 1.85, 'avg_down_return': -1.86, 'strength_ratio': 0.99}}, 'leadership_score': {'score': 1, 'max_score': 6, 'percentage': 16.7, 'grade': 'D'}}",NASDAQ
AAPL,3571.4,"{'C': 20, 'A': 20, 'N': 60, 'S': 0, 'L': 30, 'I': 80, 'M': 40}",2025-06-02,"{'symbol': 'AAPL', 'analysis_date': '2025-06-02', 'criteria': {'52w_high': {'is_near_high': False, 'current_price': 201.7, '52w_high': 259.47, 'distance_from_high': -22.27}, 'market_performance': {'beta': nan, 'relative_strength_3m': nan, 'relative_strength_6m': nan, 'outperforms_market': False}, 'moving_average': {'above_20w_ma': False, 'ma20_value': 218.47, 'ma20_slope': -0.4624, 'ma20_trending_up': False}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 31.89, 'up_days_ratio': 0.4, 'avg_up_return': 1.5, 'avg_down_return': -1.11, 'strength_ratio': 1.35}}, 'leadership_score': {'score': 1, 'max_score': 6, 'percentage': 16.7, 'grade': 'D'}}",NASDAQ
PEP,3571.4,"{'C': 20, 'A': 20, 'N': 60, 'S': 0, 'L': 30, 'I': 80, 'M': 40}",2025-06-02,"{'symbol': 'PEP', 'analysis_date': '2025-06-02', 'criteria': {'52w_high': {'is_near_high': False, 'current_price': 130.91, '52w_high': 176.47, 'distance_from_high': -25.82}, 'market_performance': {'beta': nan, 'relative_strength_3m': nan, 'relative_strength_6m': nan, 'outperforms_market': False}, 'moving_average': {'above_20w_ma': False, 'ma20_value': 143.06, 'ma20_slope': -0.2154, 'ma20_trending_up': False}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 16.14, 'up_days_ratio': 0.35, 'avg_up_return': 1.02, 'avg_down_return': -0.71, 'strength_ratio': 1.44}}, 'leadership_score': {'score': 1, 'max_score': 6, 'percentage': 16.7, 'grade': 'D'}}",NASDAQ
A,3571.4,"{'C': 20, 'A': 20, 'N': 60, 'S': 0, 'L': 30, 'I': 80, 'M': 40}",2025-06-02,"{'symbol': 'A', 'analysis_date': '2025-06-02', 'criteria': {'52w_high': {'is_near_high': False, 'current_price': 111.05, '52w_high': 153.51, 'distance_from_high': -27.66}, 'market_performance': {'beta': nan, 'relative_strength_3m': nan, 'relative_strength_6m': nan, 'outperforms_market': False}, 'moving_average': {'above_20w_ma': False, 'ma20_value': 123.1, 'ma20_slope': -0.2405, 'ma20_trending_up': False}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 40.9, 'up_days_ratio': 0.45, 'avg_up_return': 2.08, 'avg_down_return': -1.45, 'strength_ratio': 1.44}}, 'leadership_score': {'score': 1, 'max_score': 6, 'percentage': 16.7, 'grade': 'D'}}",SP500
ALGN,3571.4,"{'C': 20, 'A': 20, 'N': 60, 'S': 0, 'L': 30, 'I': 80, 'M': 40}",2025-06-02,"{'symbol': 'ALGN', 'analysis_date': '2025-06-02', 'criteria': {'52w_high': {'is_near_high': False, 'current_price': 178.51, '52w_high': 271.59, 'distance_from_high': -34.27}, 'market_performance': {'beta': nan, 'relative_strength_3m': nan, 'relative_strength_6m': nan, 'outperforms_market': False}, 'moving_average': {'above_20w_ma': False, 'ma20_value': 186.19, 'ma20_slope': -0.3678, 'ma20_trending_up': False}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 39.98, 'up_days_ratio': 0.45, 'avg_up_return': 2.06, 'avg_down_return': -1.7, 'strength_ratio': 1.21}}, 'leadership_score': {'score': 1, 'max_score': 6, 'percentage': 16.7, 'grade': 'D'}}",SP500
ADBE,3285.7,"{'C': 20, 'A': 20, 'N': 60, 'S': 0, 'L': 30, 'I': 60, 'M': 40}",2025-06-02,"{'symbol': 'ADBE', 'analysis_date': '2025-06-02', 'criteria': {'52w_high': {'is_near_high': False, 'current_price': 403.4, '52w_high': 587.75, 'distance_from_high': -31.37}, 'market_performance': {'beta': nan, 'relative_strength_3m': nan, 'relative_strength_6m': nan, 'outperforms_market': False}, 'moving_average': {'above_20w_ma': False, 'ma20_value': 407.61, 'ma20_slope': -0.5024, 'ma20_trending_up': False}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 21.82, 'up_days_ratio': 0.65, 'avg_up_return': 0.97, 'avg_down_return': -0.95, 'strength_ratio': 1.02}}, 'leadership_score': {'score': 0, 'max_score': 6, 'percentage': 0.0, 'grade': 'D'}}",NASDAQ
CMCSA,3285.7,"{'C': 20, 'A': 20, 'N': 60, 'S': 0, 'L': 30, 'I': 60, 'M': 40}",2025-06-02,"{'symbol': 'CMCSA', 'analysis_date': '2025-06-02', 'criteria': {'52w_high': {'is_near_high': False, 'current_price': 34.33, '52w_high': 44.53, 'distance_from_high': -22.9}, 'market_performance': {'beta': nan, 'relative_strength_3m': nan, 'relative_strength_6m': nan, 'outperforms_market': False}, 'moving_average': {'above_20w_ma': False, 'ma20_value': 35.15, 'ma20_slope': -0.0282, 'ma20_trending_up': False}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 14.88, 'up_days_ratio': 0.45, 'avg_up_return': 0.77, 'avg_down_return': -0.66, 'strength_ratio': 1.17}}, 'leadership_score': {'score': 0, 'max_score': 6, 'percentage': 0.0, 'grade': 'D'}}",NASDAQ
ACN,3285.7,"{'C': 20, 'A': 20, 'N': 60, 'S': 0, 'L': 30, 'I': 60, 'M': 40}",2025-06-02,"{'symbol': 'ACN', 'analysis_date': '2025-06-02', 'criteria': {'52w_high': {'is_near_high': False, 'current_price': 314.47, '52w_high': 396.38, 'distance_from_high': -20.67}, 'market_performance': {'beta': nan, 'relative_strength_3m': nan, 'relative_strength_6m': nan, 'outperforms_market': False}, 'moving_average': {'above_20w_ma': False, 'ma20_value': 330.52, 'ma20_slope': -0.3832, 'ma20_trending_up': False}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 22.73, 'up_days_ratio': 0.55, 'avg_up_return': 1.04, 'avg_down_return': -0.92, 'strength_ratio': 1.13}}, 'leadership_score': {'score': 0, 'max_score': 6, 'percentage': 0.0, 'grade': 'D'}}",SP500
ADBE,3285.7,"{'C': 20, 'A': 20, 'N': 60, 'S': 0, 'L': 30, 'I': 60, 'M': 40}",2025-06-02,"{'symbol': 'ADBE', 'analysis_date': '2025-06-02', 'criteria': {'52w_high': {'is_near_high': False, 'current_price': 403.4, '52w_high': 587.75, 'distance_from_high': -31.37}, 'market_performance': {'beta': nan, 'relative_strength_3m': nan, 'relative_strength_6m': nan, 'outperforms_market': False}, 'moving_average': {'above_20w_ma': False, 'ma20_value': 407.61, 'ma20_slope': -0.5024, 'ma20_trending_up': False}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 21.82, 'up_days_ratio': 0.65, 'avg_up_return': 0.97, 'avg_down_return': -0.95, 'strength_ratio': 1.02}}, 'leadership_score': {'score': 0, 'max_score': 6, 'percentage': 0.0, 'grade': 'D'}}",SP500
ALB,3285.7,"{'C': 20, 'A': 20, 'N': 60, 'S': 0, 'L': 30, 'I': 60, 'M': 40}",2025-06-02,"{'symbol': 'ALB', 'analysis_date': '2025-06-02', 'criteria': {'52w_high': {'is_near_high': False, 'current_price': 55.09, '52w_high': 123.71, 'distance_from_high': -55.47}, 'market_performance': {'beta': nan, 'relative_strength_3m': nan, 'relative_strength_6m': nan, 'outperforms_market': False}, 'moving_average': {'above_20w_ma': False, 'ma20_value': 71.08, 'ma20_slope': -0.3301, 'ma20_trending_up': False}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 39.73, 'up_days_ratio': 0.35, 'avg_up_return': 2.13, 'avg_down_return': -1.8, 'strength_ratio': 1.19}}, 'leadership_score': {'score': 0, 'max_score': 6, 'percentage': 0.0, 'grade': 'D'}}",SP500
